City,Day,Date,Station Name,Use Case,Status,CPO,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,Test Result,Remark,Station_ID
广州,8.0,12/5/25,广汽能源,AC_UC1_17460722,Normal Test,广汽能源,廣汽,DC,1000.0,250.0,240.0,掃描 QRcode,0.0,12/5/25 18:15,28.0,12/5/25 18:18,33.0,APP,Pass,前兩次啟動失敗,GZ_guangqi_001
广州,8.0,12/5/25,小鵬,AC_UC1_17460722,Normal Test,小鵬,西安岭充无线新能源科技有限公司,HPC,1000.0,800.0,800.0,掃描 QRcode,1.0,12/5/25 18:24,33.0,12/5/25 18:27,35.0,CID,Pass,,GZ_unknown_cpo_052
广州,8.0,12/5/25,天光地合,DC_UC6_17460721,Normal Test,天光地合,盛宏,DC,1000.0,250.0,120.0,掃描 QRcode,0.0,12/5/25 19:06,32.0,12/5/25 19:08,35.0,LAT,Pass,掃碼顯示小桔充電,GZ_tianguangdihe_001
广州,8.0,12/5/25,億立新,DC_UC4_17460724,Normal Test,億立新,珠海泰坦科技股份有限公司,DC,1000.0,400.0,400.0,掃描 QRcode,0.0,12/5/25 19:20,35.0,12/5/25 19:23,36.0,CID,Pass,登徒 e 站  APP 啟電為新店途,GZ_unknown_cpo_053
广州,8.0,12/5/25,珠海驛聯 e 充電,DC_UC4_17460724,Normal Test,珠海驛聯 e 充電,泰坦,DC,750.0,380.0,120.0,掃描 QRcode,0.0,12/5/25 19:52,35.0,12/5/25 19:53,37.0,CID,Pass,要掃描下面的 e 充電,GZ_unknown_cpo_054
广州,8.0,12/5/25,昊铂-中国石油广州富洲中心超充站,DC_UC4_17460724,Normal Test,广汽能源,万城万冲,DC,1000.0,250.0,180.0,掃描 QRcode,1.0,12/5/25 20:24,35.0,12/5/25 20:25,37.0,LAT,Pass,終於結束了，累死了,GZ_guangqi_002
成都,1.0,2026-03-09 00:00:00,大充新都锦水苑充电站,UC01_CC_DC_AC_Sessions,Normal Test,達克雲,浙江萬馬新能源有限公司,DC,1000.0,250.0,120.0,Scan QR Code,0.0,2026-03-09 11:24:24,73.0,2026-03-09 11:26:42,78.0,APP,Pass,實際電流會大於需求電流,CD_unknown_cpo_001
成都,1.0,2026-03-09 00:00:00,大邑县铭奇快速充电站,UC01_CC_DC_AC_Sessions,Normal Test,太能沖,成都智邦科技有限公司,DC,220.0,250.0,100.0,Scan QR Code,0.0,2026-03-09 13:04:35,69.0,2026-03-09 13:07:31,71.0,LAT,Pass,,CD_unknown_cpo_002
成都,1.0,2026-03-09 00:00:00,蒲江亿谦充电站3号桩,UC01_CC_DC_AC_Sessions,Normal Test,億謙,广东尚晟新能源科技有限公司,DC,1000.0,400.0,120.0,Scan QR Code,1.0,2026-03-09 14:35:52,56.0,2026-03-09 14:40:33,59.0,LAT,Pass,,CD_unknown_cpo_003
成都,1.0,2026-03-09 00:00:00,石羊场汽车充换电站,UC01_CC_DC_AC_Sessions,Station Inaccessible,,,,,,,,,,,,,,,,
成都,1.0,2026-03-09 00:00:00,億天宸新能源充電站,UC01_CC_DC_AC_Sessions,Normal Test,億天宸,深圳市永联科技股份有限公司,DC,1000.0,500.0,320.0,Scan QR Code,1.0,2026-03-09 15:58:33,43.0,2026-03-09 16:04:03,46.0,CID,Pass,場站cpo無法使用 只能使用雲快充啟動 二維碼失效,CD_unknown_cpo_004
成都,1.0,2026-03-09 00:00:00,理想超级充电站(理想超充站成都高新新园大道),UC01_CC_DC_AC_Sessions,Station Inaccessible,,,,,,,,,,,,,,,,
成都,1.0,2026-03-09 00:00:00,仁和云朵超充站,UC01_CC_DC_AC_Sessions,Normal Test,仁和云朵,深圳市永联科技股份有限公司,DC,1000.0,500.0,320.0,Scan QR Code,1.0,,45.0,2026-03-09 16:24:38,48.0,LAT,Pass,開始時間16:22,CD_renheyunduo_001
成都,1.0,2026-03-09 00:00:00,特来电川能综能-天府国际金融中心充电站,UC01_CC_DC_AC_Sessions,Normal Test,四川能源,青岛特来电新能源科技有限公司,DC,1000.0,600.0,600.0,Scan QR Code,1.0,,46.0,2026-03-09 17:03:05,51.0,LAT,Pass,,CD_sichuannengyuan_001
成都,1.0,2026-03-09 00:00:00,特来电中国华商金融中心充电站,UC01_CC_DC_AC_Sessions,Normal Test,崑崙網電,深圳市科华恒盛科技有限公司,DC,1000.0,400.0,120.0,Scan QR Code,1.0,,50.0,,51.0,CID,Pass,開始結束時間17:16，17:18,CD_unknown_cpo_005
成都,1.0,2026-03-09 00:00:00,中國石油,UC01_CC_DC_AC_Sessions,Normal Test,中國石油 金融中心站,深圳市科华恒盛科技有限公司,AC,220.0,32.0,,Scan QR Code,0.0,2026-03-09 17:23:19,51.0,2026-03-09 17:25:03,52.0,CID,Pass,,CD_unknown_cpo_006
成都,1.0,2026-03-09 00:00:00,高盛公馆充电站,UC01_CC_DC_AC_Sessions,Normal Test,小橘充電,陽光電源股份有限公司,DC,1000.0,250.0,120.0,Scan QR Code,0.0,2026-03-09 17:38:51,50.0,2026-03-09 17:43:53,54.0,LAT,Pass,CPO包含了滴滴充電,CD_unknown_cpo_007
成都,1.0,2026-03-09 00:00:00,无诤摩方购物中心充电站,UC01_CC_DC_AC_Sessions,Normal Test,小橘充電,深圳市盛弘電器,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-09 18:19:06,52.0,2026-03-09 18:22:45,58.0,LAT,Pass,滴滴充電 小橘 愉快充 快電 掃碼出來是雲快充,CD_unknown_cpo_008
成都,2.0,2026-03-10 00:00:00,道暢充充超級充電站(都江堰太陽島液冷超充站),UC01_CC_DC_AC_Sessions,Normal Test,道唱充充,四川沃轮电气制造有限公司,DC,1000.0,250.0,250.0,Scan QR Code,0.0,2026-03-10 12:12:39,30.0,2026-03-10 12:15:12,34.0,LAT,Pass,掃顯示器上的二維碼沒作用，需要掃裝上貼的二維碼才可以啟動,CD_daochangchongchong_001
